id,movement,start_year,end_year,category,movement_alternates,wikipedia
greek-classical,Greek Classical Period,-480,-323,Visual Art,Classical Antiquity|Classical Greek Art,
hellenistic-art,Hellenistic Art,-323,-31,Visual Art,Hellenistic Period,Hellenistic_Art
roman-art,Roman Art,-509,476,Visual Art,Roman Imperial Art|Art of Ancient Rome,Roman_Art
mauryan-art,Mauryan Art,-322,-185,Visual Art,Mauryan Empire Art|Early Indian Art,
gupta-sculpture,Gupta Sculpture,320,550,Visual Art,Gupta Period Art|Classical Indian Art,
byzantine-art,Byzantine Art,330,1453,Visual Art,Byzantine Period|Eastern Roman Art,Byzantine_Art
tang-dynasty-art,Tang Dynasty Art,618,907,Visual Art,Tang Golden Age|Tang Dynasty Culture,
islamic-golden-age,Islamic Golden Age,750,1258,Visual Art,Abbasid Art|Islamic Classical Period,Islamic_Golden_Age
carolingian-art,Carolingian Art,750,900,Visual Art,Carolingian Renaissance,Carolingian_Art
heian-culture,Heian Period Culture,794,1185,Performing Arts,Heian Japan|Japanese Classical Culture,
song-landscape-painting,Song Dynasty Landscape Painting,960,1279,Visual Art,Song Dynasty Art|Shan Shui Painting,
romanesque,Romanesque Art,1000,1150,Architecture,Romanesque Architecture|Romanesque Style,
medieval-islamic-architecture,Medieval Islamic Architecture,1000,1500,Architecture,Islamic Architecture|Moorish Architecture,
gothic,Gothic Art,1150,1400,Architecture,Gothic Architecture|Gothic Style,Gothic_Art
indian-temple-sculpture,Indian Temple Sculpture,400,1000,Visual Art,Hindu Temple Art|Dravidian Architecture,
aztec-art,Aztec Art,1300,1521,Visual Art,Mexica Art|Pre-Columbian Art,
italian-renaissance,Italian Renaissance,1400,1600,Visual Art,Renaissance|Rinascimento,Italian_Renaissance
northern-renaissance,Northern Renaissance,1430,1580,Visual Art,Flemish Renaissance|German Renaissance,Northern_Renaissance
high-renaissance,High Renaissance,1490,1527,Visual Art,,High_Renaissance
renaissance-polyphony,Renaissance Polyphony,1400,1600,Music,Renaissance Music|Franco-Flemish School,
elizabethan-theatre,Elizabethan Theatre,1558,1642,Performing Arts,English Renaissance Theatre|Shakespearean Theatre,Elizabethan_Theatre
mannerism,Mannerism,1520,1600,Visual Art,Late Renaissance|Maniera,Mannerism
baroque,Baroque,1600,1750,Visual Art,Baroque Art|Baroque Style,Baroque
baroque-music,Baroque Music,1600,1750,Music,,Baroque_Music
mughal-painting,Mughal Painting,1600,1857,Visual Art,Mughal Miniature|Indo-Persian Painting,Mughal_Painting
edo-period-culture,Edo Period Culture,1603,1868,Performing Arts,Ukiyo-e|Kabuki|Japanese Woodblock Prints,
classicism,Classicism,1620,1800,Visual Art,French Classicism|Academic Classicism,Classicism
rococo,Rococo,1720,1780,Visual Art,Late Baroque|Rococo Style,Rococo
classical-music,Classical Period Music,1750,1820,Music,Viennese Classicism|Classical Era Music,
neoclassicism,Neoclassicism,1760,1850,Visual Art,Neoclassical Art|Neo-Classicism,Neoclassicism
romanticism,Romanticism,1800,1850,Visual Art,Romantic Movement|Romantic Art,Romanticism
romantic-music,Romantic Music,1820,1900,Music,Romantic Era Music|Romanticism in Music,Romantic_Music
realism,Realism,1840,1880,Visual Art,Realist Movement|Social Realism,Realism
pre-raphaelite,Pre-Raphaelite Brotherhood,1848,1880,Visual Art,Pre-Raphaelitism|PRB,Pre-Raphaelite_Brotherhood
impressionism,Impressionism,1860,1900,Visual Art,French Impressionism,Impressionism
art-nouveau,Art Nouveau,1890,1910,Visual Art,Jugendstil|Modernisme|New Art,Art_Nouveau
post-impressionism,Post-Impressionism,1886,1910,Visual Art,,Post-Impressionism
symbolism,Symbolism,1886,1910,Visual Art,Symbolist Movement,Symbolism
expressionism,Expressionism,1905,1930,Visual Art,German Expressionism|Die Brucke|Der Blaue Reiter,Expressionism
fauvism,Fauvism,1905,1910,Visual Art,Les Fauves,Fauvism
cubism,Cubism,1907,1935,Visual Art,Analytic Cubism|Synthetic Cubism,Cubism
futurism,Futurism,1909,1944,Visual Art,Italian Futurism,Futurism
constructivism,Constructivism,1913,1940,Visual Art,Russian Constructivism|Soviet Constructivism,Constructivism
dada,Dada,1916,1924,Visual Art,Dadaism,Dada
bauhaus,Bauhaus,1919,1933,Visual Art,Bauhaus School,Bauhaus
surrealism,Surrealism,1924,1966,Visual Art,Surrealist Movement,Surrealism
latin-american-muralism,Latin American Muralism,1920,1960,Visual Art,Mexican Muralism|Los Tres Grandes,
jazz-age,Jazz Age,1920,1940,Music,Jazz Era|Harlem Renaissance Music,Jazz_Age
abstract-expressionism,Abstract Expressionism,1940,1965,Visual Art,New York School|Action Painting|Color Field,Abstract_Expressionism
pop-art,Pop Art,1955,1975,Visual Art,Popular Art,Pop_Art
minimalism,Minimalism,1960,1980,Visual Art,Minimal Art,Minimalism
postmodernism,Postmodernism,1970,2000,Visual Art,Postmodern Art|Po-Mo,Postmodernism
hip-hop-culture,Hip-Hop Culture,1973,,Performing Arts,Hip-Hop|Rap Culture|B-boy Culture,
street-art,Street Art,1980,,Visual Art,Graffiti Art|Urban Art|Mural Art,Street_Art
digital-art,Digital Art,1990,,Multimedia & Modern,Computer Art|New Media Art|Net Art,Digital_Art
